gen,nevals,avg,min,max,std
0,50,0.52492,0.30799999999999994,0.8389999999999999,0.15807603739972734
1,38,0.5760149999999999,0.123,0.8629999999999999,0.202393950070154
2,36,0.6102399999999999,0.197,0.8629999999999999,0.18590616557822925
3,40,0.5518799999999999,0.164,0.9639999999999999,0.22677165960498677
4,39,0.61576,0.151,0.9639999999999999,0.20985123873830241
5,37,0.63854,0.164,0.9999999999999998,0.19734611321229506
6,40,0.61052,0.16399999999999998,0.9999999999999998,0.22726145647689575
7,30,0.6465599999999999,0.15100000000000002,0.9999999999999998,0.2584322859087076
8,35,0.68656,0.18,0.9999999999999998,0.228701303887844
9,31,0.6787799999999998,0.191,0.9999999999999998,0.26587081750353864
10,30,0.66818,0.16999999999999998,0.9999999999999998,0.27329022595036206
11,32,0.6667199999999999,0.175,0.9999999999999998,0.26787564577616974
12,40,0.6274199999999999,0.203,0.9999999999999998,0.23660507940447933
13,36,0.63718,0.162,0.9999999999999998,0.24448007607983102
14,37,0.6459999999999999,0.155,0.9999999999999998,0.22945404768711308
15,30,0.69278,0.124,0.9999999999999998,0.23610144345175013
16,37,0.64562,0.13999999999999999,0.9999999999999998,0.25095919110484866
17,39,0.60978,0.185,0.9999999999999998,0.2640010825735379
18,35,0.59482,0.148,0.9999999999999998,0.25324467931232036
19,40,0.634,0.152,0.9999999999999998,0.21377474125817572
20,40,0.6074799999999999,0.18,0.9999999999999998,0.23344354692301944
21,41,0.6390399999999999,0.20800000000000002,0.9999999999999998,0.21510452900857288
22,35,0.64532,0.157,0.9999999999999998,0.22599747255223887
23,39,0.6423599999999999,0.139,0.9999999999999998,0.22264444839249858
24,36,0.6535199999999999,0.20800000000000002,0.9999999999999998,0.23751869315908583
25,34,0.6914399999999999,0.192,0.9999999999999998,0.2536599424426331
26,36,0.6519999999999999,0.11599999999999999,0.9999999999999998,0.2544513312993272
27,44,0.6158,0.32399999999999995,0.9999999999999998,0.21112157634879478
28,39,0.6265599999999999,0.198,0.9999999999999998,0.23164551884290785
29,37,0.581,0.16899999999999998,0.9999999999999998,0.23576437389902652
30,36,0.6026199999999999,0.152,0.9999999999999998,0.22409380982079796
31,36,0.6799599999999999,0.335,0.9999999999999998,0.21383525995494748
32,34,0.6449199999999999,0.198,0.9999999999999998,0.2235765497542172
33,35,0.6334399999999999,0.233,0.9999999999999998,0.2049075069391065
34,36,0.69698,0.311,0.9999999999999998,0.2165888722903371
35,30,0.7329799999999999,0.184,0.9999999999999998,0.21048900113782662
36,31,0.74292,0.205,0.9999999999999998,0.22194763706784526
37,39,0.6280999999999999,0.15699999999999997,0.9999999999999998,0.23629221315989227
38,33,0.6234,0.16799999999999998,0.9999999999999998,0.24496603846247741
39,38,0.6801999999999998,0.28300000000000003,0.9999999999999998,0.22233020487554084
40,27,0.6984799999999999,0.24500000000000002,0.9999999999999998,0.24158685725841952
41,40,0.62958,0.191,0.9999999999999998,0.24045798718279243
42,34,0.67354,0.163,0.9999999999999998,0.23802993173128453
43,32,0.6858399999999999,0.145,0.9999999999999998,0.26827436403801236
44,34,0.7032599999999999,0.162,0.9999999999999998,0.2275425067981804
45,35,0.6905,0.313,0.9999999999999998,0.21932918182494543
46,40,0.64338,0.157,0.9999999999999998,0.22355070028966578
47,36,0.63418,0.158,0.9999999999999998,0.21627877288351713
48,39,0.6351399999999999,0.198,0.9999999999999998,0.2380775512306861
49,39,0.62044,0.18,0.9999999999999998,0.23832584081462918
50,38,0.64024,0.18,0.9999999999999998,0.23062979512630186
51,38,0.6693799999999999,0.199,0.9999999999999998,0.22096976173223334
52,30,0.6800799999999999,0.139,0.9999999999999998,0.24178650417258604
53,40,0.6526799999999998,0.305,0.9999999999999998,0.21401919913876877
54,32,0.68684,0.187,0.9999999999999998,0.22929058942747732
55,36,0.67102,0.33699999999999997,0.9999999999999998,0.20363737279782407
56,41,0.6293599999999999,0.199,0.9999999999999998,0.21533265056651296
57,36,0.6389199999999999,0.185,0.9999999999999998,0.23944910440425532
58,34,0.68104,0.16799999999999998,0.9999999999999998,0.22192385721233301
59,35,0.6768599999999999,0.16499999999999998,0.9999999999999998,0.2135783706277393
60,39,0.6378199999999999,0.20400000000000001,0.9999999999999998,0.2087387544276337
61,41,0.6029199999999999,0.186,0.9999999999999998,0.21353480653045764
62,38,0.6455799999999999,0.20299999999999999,0.9999999999999998,0.22281194671740556
63,40,0.58412,0.15700000000000003,0.9999999999999998,0.23467472296777078
64,33,0.70434,0.174,0.9999999999999998,0.19875458334337848
65,37,0.66874,0.175,0.9999999999999998,0.23624350234450886
66,35,0.63274,0.15799999999999997,0.9999999999999998,0.245125748137563
67,38,0.6522399999999999,0.18699999999999997,0.9999999999999998,0.23669275950058116
68,40,0.6366999999999999,0.144,0.9999999999999998,0.24008267326069152
69,38,0.6340399999999999,0.11199999999999999,0.9999999999999998,0.22906985484781706
70,33,0.6585,0.30500000000000005,0.9999999999999998,0.22635443446064837
71,32,0.694,0.31100000000000005,0.9999999999999998,0.21367245961985828
72,32,0.6966800000000001,0.15,0.9999999999999998,0.2545953998013317
73,40,0.62518,0.198,0.9999999999999998,0.2271945148985775
74,33,0.6470599999999999,0.151,0.9999999999999998,0.22924837273141105
75,38,0.62906,0.192,0.9999999999999998,0.23618961958562018
76,39,0.6115599999999999,0.16499999999999998,0.9999999999999998,0.24245075046285164
77,44,0.6526199999999999,0.323,0.9999999999999998,0.2154248722873011
78,32,0.7006600000000001,0.205,0.9999999999999998,0.2391175953375242
79,35,0.69958,0.176,0.9999999999999998,0.23915610717688138
80,38,0.6723799999999999,0.17,0.9999999999999998,0.22508557394910933
81,34,0.6934999999999999,0.313,0.9999999999999998,0.2013758923009405
82,38,0.6191599999999999,0.205,0.9999999999999998,0.23329340839380777
83,37,0.6360999999999999,0.191,0.9999999999999998,0.24121660390611582
84,39,0.6618999999999999,0.32699999999999996,0.9999999999999998,0.20377833545301124
85,40,0.66704,0.31799999999999995,0.9999999999999998,0.22575402189108384
86,39,0.63152,0.156,0.9999999999999998,0.22346196454877945
87,39,0.6311999999999999,0.301,0.9999999999999998,0.1976193310382362
88,37,0.6188999999999999,0.157,0.9999999999999998,0.235913649456745
89,36,0.6476199999999999,0.16899999999999998,0.9999999999999998,0.22359703844192566
90,33,0.6630199999999999,0.31799999999999995,0.9999999999999998,0.20901133844842001
91,37,0.6276999999999999,0.174,0.9999999999999998,0.19558867554130013
92,43,0.63378,0.151,0.9999999999999998,0.23499287563668816
93,29,0.7117799999999999,0.181,0.9999999999999998,0.234586298832647
94,40,0.6846,0.227,0.9999999999999998,0.21900018264832558
95,40,0.61142,0.122,0.9999999999999998,0.2358451263011385
96,35,0.6347999999999999,0.20400000000000001,0.9999999999999998,0.19619806319125574
97,41,0.61064,0.203,0.9999999999999998,0.20814483034656417
98,35,0.6666,0.27299999999999996,0.9999999999999998,0.2177998163451934
99,40,0.65006,0.123,0.9999999999999998,0.2163001072584107
100,35,0.6511199999999999,0.175,0.9999999999999998,0.22814965614701238
